,Адрес,Вид ДТП,Время,Дата,Долгота,Число погибших,Число раненых,Широта
0,Пролетарский район,Наезд на пешехода,16:45,15.05.2016,54.1853,,,37.6775
1,Пролетарский район,Наезд на пешехода,19:10,14.05.2016,54.2017,,,37.7092
2,Пролетарский район,Наезд на пешехода,19:30,13.05.2016,54.1686,,,37.7097
3,Зареченский район,Наезд на пешехода,00:10,11.05.2016,54.2514,,,37.6336
4,Зареченский район,Наезд на пешехода,03:05,09.05.2016,54.2264,,,37.6181
5,Пролетарский район,Наезд на пешехода,16:15,09.05.2016,54.1981,,,37.6853
6,Привокзальный район,Наезд на пешехода,18:00,07.05.2016,54.1022,,,37.5525
7,Зареченский район,Наезд на пешехода,17:00,06.05.2016,54.2022,,,37.6233
8,Привокзальный район,Наезд на пешехода,12:30,06.05.2016,54.1806,,,37.5808
9,Пролетарский район,Наезд на пешехода,17:45,05.05.2016,54.2017,,,37.6519
10,Центральный район,Наезд на пешехода,08:10,05.05.2016,54.1003,,,37.5847
11,Привокзальный район,Наезд на пешехода,20:35,03.05.2016,54.1689,,,37.5708
12,Зареченский район,Наезд на пешехода,19:20,30.05.2016,54.2219,,,37.6194
13,Советский район,Наезд на пешехода,17:40,30.05.2016,54.1944,,,37.6161
14,Пролетарский район,Наезд на пешехода,13:30,28.05.2016,54.6181,,,37.1339
15,Пролетарский район,Наезд на пешехода,15:00,27.05.2016,54.2,,,37.6186
16,Центральный район,Наезд на пешехода,11:30,27.05.2016,54.1517,,,37.6019
17,Центральный район,Наезд на пешехода,16:15,25.05.2016,54.1356,,,37.5833
18,Центральный район,Наезд на пешехода,11:15,21.05.2016,54.1414,,,37.5867
19,Советский район,Наезд на пешехода,08:15,19.05.2016,54.1797,,,37.585
20,Пролетарский район,Наезд на пешехода,15:45,17.05.2016,54.1961,,,37.6706
21,Пролетарский район,Наезд на пешехода,21:10,16.05.2016,54.1856,,,37.6511
22,Зареченский район,Наезд на пешехода,22:15,15.06.2016,54.2158,,,37.6233
23,Центральный район,Наезд на пешехода,09:00,10.06.2016,54.1003,,,37.5847
24,Советский район,Наезд на пешехода,18:00,09.06.2016,54.1969,,,37.585
25,Привокзальный район,Наезд на пешехода,18:15,07.06.2016,54.1525,,,37.5686
26,Привокзальный район,Наезд на пешехода,14:25,07.06.2016,54.2014,,,37.5678
27,Центральный район,Наезд на пешехода,18:10,07.06.2016,54.2,,,37.6019
28,Пролетарский район,Наезд на пешехода,16:45,06.06.2016,54.2022,,,37.6853
29,Зареченский район,Наезд на пешехода,20:15,05.06.2016,54.2858,,,37.6206
30,Привокзальный район,Наезд на пешехода,09:00,03.06.2016,54.1967,,,37.6186
31,Центральный район,Наезд на пешехода,11:50,01.06.2016,54.1519,,,37.5839
32,Пролетарский район,Наезд на пешехода,23:00,25.06.2016,54.0,,,37.0
33,Советский район,Наезд на пешехода,23:55,24.06.2016,54.1872,,,37.5989
34,Зареченский район,Наезд на пешехода,15:30,19.06.2016,54.2186,,,37.6025
35,Зареченский район,Наезд на пешехода,13:30,18.06.2016,54.235,,,37.6192
36,Пролетарский район,Наезд на пешехода,09:05,17.06.2016,54.2114,,,37.6539
37,Советский район,Наезд на пешехода,11:30,11.07.2016,54.1756,,,37.5878
38,Пролетарский район,Наезд на пешехода,15:30,10.07.2016,54.185,,,37.6869
39,Пролетарский район,Наезд на пешехода,12:35,09.07.2016,54.1853,,,37.6686
40,Зареченский район,Наезд на пешехода,17:55,08.07.2016,54.2344,,,37.6192
41,Зареченский район,Наезд на пешехода,22:05,04.07.2016,54.2022,,,37.6175
42,Привокзальный район,Наезд на пешехода,13:30,04.07.2016,54.4431,,,37.2161
43,Пролетарский район,Наезд на пешехода,22:30,02.07.2016,54.2003,,,37.6675
44,Пролетарский район,Наезд на пешехода,19:15,01.07.2016,54.1844,,,37.6692
45,Привокзальный район,Наезд на пешехода,03:55,30.07.2016,54.1206,,,37.5442
46,Советский район,Наезд на пешехода,16:20,28.07.2016,54.1858,,,37.6147
47,Пролетарский район,Наезд на пешехода,07:50,25.07.2016,54.2156,,,37.6989
48,Привокзальный район,Наезд на пешехода,13:00,20.07.2016,54.1236,,,37.5356
49,Центральный район,Наезд на пешехода,12:00,20.07.2016,54.1467,,,37.5869
50,Советский район,Наезд на пешехода,09:30,19.07.2016,54.1858,,,37.6047
51,Пролетарский район,Наезд на пешехода,17:00,15.08.2016,54.1964,,,37.6925
52,Пролетарский район,Наезд на пешехода,19:50,13.08.2016,54.1856,,,37.6558
53,Пролетарский район,Наезд на пешехода,21:30,12.08.2016,54.1856,,,37.9961
54,Пролетарский район,Наезд на пешехода,17:45,11.08.2016,54.1794,,,37.7072
55,Советский район,Наезд на пешехода,18:15,09.08.2016,54.1986,,,37.585
56,Центральный район,Наезд на пешехода,21:30,07.08.2016,54.1792,,,37.5853
57,Советский район,Наезд на пешехода,07:50,01.08.2016,54.1706,,,37.5692
58,Пролетарский район,Наезд на пешехода,21:40,01.08.2016,54.1853,,,37.635
59,Привокзальный район,Наезд на пешехода,23:50,27.08.2016,54.1853,,,37.5517
60,Привокзальный район,Наезд на пешехода,11:30,27.08.2016,54.1358,,,37.5842
61,Пролетарский район,Наезд на пешехода,14:25,26.08.2016,54.1856,,,37.6636
62,Привокзальный район,Наезд на пешехода,01:00,26.08.2016,54.1283,,,37.5517
63,Центральный район,Наезд на пешехода,18:20,23.08.2016,54.1708,,,37.5858
64,Центральный район,Наезд на пешехода,18:20,23.08.2016,54.1992,,,37.6211
65,Привокзальный район,Наезд на пешехода,19:15,22.08.2016,54.1211,,,37.5656
66,Советский район,Наезд на пешехода,15:30,22.08.2016,54.1825,,,37.5853
67,Пролетарский район,Наезд на пешехода,13:30,20.08.2016,54.1692,,,37.7033
68,Пролетарский район,Наезд на пешехода,02:00,20.08.2016,54.2064,,,37.6686
69,Центральный район,Наезд на пешехода,00:45,19.08.2016,54.1519,,,37.5858
70,Пролетарский район,Наезд на пешехода,11:10,17.08.2016,54.3347,,,37.6444
71,Советский район,Наезд на пешехода,14:28,17.08.2016,54.1839,,,37.5856
